academic_confidence,ambiguity_flag,career_priorities,constraints,curriculum_type,dataset_version,expected_prodi,free_text_goal_keywords,interest_deep_dive,interests,prodi_to_avoid,quality_flag,sample_id,score_advanced_math,score_anthropology,score_arts,score_bahasa,score_biology,score_chemistry,score_civics,score_economics,score_english,score_foreign_language,score_geography,score_history,score_indonesian,score_informatics,score_kesehatan,score_math,score_olahraga,score_paling_banyak_1_mata_pelajaran_pendukung_yang_relevan_dengan_program_studi_kependidikannya,score_pattern,score_pendidikan_jasmani,score_physics,score_pjok,score_religion,score_sastra_inggris,score_sociology,sma_track,source_type,target_cluster,target_kelompok_prodi,target_prodi,target_prodi_id,work_style
science/lab,False,high salary potential|remote/digital work,practical/project-heavy,K13 Bahasa,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,standard,S01219,,74,77,,93,96,70,,81,80,,87,94,72,,73,,,several strong subjects,,79,72,80,,80,IPA,synthetic_v2,Ilmu Alam,Kimia,Kimia Industri,P0086,teamwork
balanced,False,stable career|public service,theory-heavy,K13 IPA,apti_dataset_v2,,Data Scientist Data Analyst,business_finance|engineering|hands_on|tech_ai_data|technology_digital,Business|Data / AI|Engineering|Technology,none,standard,S01220,83,,100,,71,,64,64,77,72,,82,82,66,,87,,,several strong subjects,,69,66,82,,75,IPS,synthetic_v2,Ilmu Terapan,Sains Data,Analitika Data,P0473,lab work
language/writing,False,public service|high salary potential,balanced,K13 IPA,apti_dataset_v2,Hukum Ekonomi Syariah,Legal Officer Advocate,engineering|hands_on|social_law|technology_digital|writing_reading,Engineering|Law|Technology,none,standard,S01221,78,,81,,,89,100,75,82,87,,,84,84,,86,,,several strong subjects,,89,78,85,,83,Merdeka,synthetic_v2,Ilmu Terapan,Hukum,Hukum Ekonomi Syariah,P0394,field work
social/human,False,public service|high salary potential,lab-heavy,K13 IPA,apti_dataset_v2,Ners,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,balanced_high,S01222,,93,86,,88,,84,94,92,82,88,,75,,,78,,,several strong subjects,,,81,87,,93,IPA,synthetic_v2,Ilmu Terapan,Keperawatan,Ners,P0369,research-focused
language/writing,False,high salary potential|remote/digital work,theory-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S01223,85,85,82,,99,,97,84,73,81,77,89,80,,,84,,,several strong subjects,,86,89,84,,79,Merdeka,synthetic_v2,Ilmu Terapan,Keperawatan,Keperawatan,P0368,independent
numbers/calculation,False,helping people|high salary potential,theory-heavy,K13 Bahasa,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,balanced_high,S01224,,86,90,,85,100,76,87,92,80,97,80,80,90,,100,,,several strong subjects,,95,85,90,,92,Bahasa,synthetic_v2,Ilmu Alam,Astronomi,Astronomi,P0117,lab work
balanced,False,public service|research/innovation,balanced,Kurikulum Merdeka,apti_dataset_v2,,Analyst Public Officer,communication_media|education|social_law_public,Media,none,standard,S01225,,92,99,,70,76,75,,74,72,80,81,71,87,,99,,,several strong subjects,,75,72,79,,85,IPS,synthetic_v2,Ilmu Sosial,Ekonomi,Ekonomi Sumber Daya,P0071,teamwork
language/writing,True,high salary potential|research/innovation,lab-heavy,K13 IPA,apti_dataset_v2,Kriya,Researcher Writer,communication_media|creative_design|language_culture,Business|Design|Education|Language|Media,none,standard,S01226,62,82,80,,63,,81,,70,75,78,72,62,,,75,,,balanced,,62,61,83,,,IPS,synthetic_v2,Humaniora,Seni,Kriya,P0016,teamwork
creative/art,False,research/innovation|public service,theory-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S01227,62,,66,,76,78,65,,68,,71,,61,69,,67,,,several strong subjects,,57,62,73,,74,Bahasa,synthetic_v2,Ilmu Terapan,Kesehatan,Audiologi,P0377,lab work
balanced,False,high salary potential|public service,practical/project-heavy,K13 IPS,apti_dataset_v2,,Researcher Writer,communication_media|creative_design|language_culture,Design|Language|Media,none,standard,S01228,60,74,75,,70,76,78,80,73,74,,79,78,78,,76,,,several strong subjects,,,68,81,,72,IPS,synthetic_v2,Humaniora,Filsafat,Aqidah dan Filsafat Islam,P0056,research-focused
balanced,False,remote/digital work|stable career,practical/project-heavy,Kurikulum Merdeka,apti_dataset_v2,Teknik Transportasi,Engineer Project Engineer,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S01229,81,71,77,,,69,78,84,78,89,87,73,88,75,,85,,,several strong subjects,,,81,74,,84,Merdeka,synthetic_v2,Ilmu Terapan,Transportasi,Teknik Transportasi,P0438,research-focused
numbers/calculation,False,stable career|helping people,lab-heavy,Kurikulum Merdeka,apti_dataset_v2,Ekonomi Sumber Daya,Analyst Public Officer,communication_media|education|social_law_public,Media,none,standard,S01230,60,64,76,,71,74,63,76,65,66,73,64,69,74,,80,,,several strong subjects,,76,76,74,,,IPS,synthetic_v2,Ilmu Sosial,Ekonomi,Ekonomi Sumber Daya,P0071,research-focused
language/writing,False,research/innovation|remote/digital work,theory-heavy,K13 IPA,apti_dataset_v2,,Data Analyst Quantitative Analyst,data_ai|numbers_logic|technology_digital,Technology,none,standard,S01231,,73,72,,89,,81,91,73,,94,84,82,84,,90,,,several strong subjects,,65,83,94,,68,IPS,synthetic_v2,Ilmu Formal,Logika,Logika dan Filsafat Sains,P0139,independent
balanced,False,high salary potential|remote/digital work,practical/project-heavy,Kurikulum Merdeka,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,balanced_high,S01232,87,100,86,,99,,78,,93,90,,93,90,99,,79,,,several strong subjects,,95,94,92,,83,Merdeka,synthetic_v2,Ilmu Alam,Fisika,Instrumentasi,P0116,research-focused
creative/art,False,stable career|helping people,practical/project-heavy,K13 Bahasa,apti_dataset_v2,Logika dan Filsafat Sains,Data Analyst Quantitative Analyst,data_ai|numbers_logic|technology_digital,Technology,none,standard,S01233,71,82,59,,57,70,82,65,67,74,,70,68,66,,70,,,several strong subjects,,77,56,77,,68,IPS,synthetic_v2,Ilmu Formal,Logika,Logika dan Filsafat Sains,P0139,teamwork
numbers/calculation,False,research/innovation|public service,balanced,K13 IPA,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S01234,84,100,88,,,93,85,,91,72,85,,76,91,,85,,,several strong subjects,,65,86,81,,81,IPS,synthetic_v2,Ilmu Terapan,"Konservasi Biologi, Konservasi Hewan Liar, Konservasi Hutan, Konservasi Sumber Daya Alam",Konservasi Hutan,P0463,independent
social/human,False,research/innovation|remote/digital work,lab-heavy,K13 IPA,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S01235,75,76,72,,100,81,91,82,78,78,82,,68,71,,62,,,several strong subjects,,85,79,74,,82,IPA,synthetic_v2,Ilmu Terapan,Keperawatan,Ners,P0369,independent
social/human,True,stable career|helping people,practical/project-heavy,Kurikulum Merdeka,apti_dataset_v2,,Analyst Public Officer,communication_media|education|social_law_public,Education|Media|Technology,none,standard,S01236,,75,85,,65,76,79,84,73,,62,88,73,78,,78,,,balanced,,89,62,91,,,IPS,synthetic_v2,Ilmu Sosial,Pertahanan,Ekonomi Pertahanan,P0079,independent
creative/art,True,public service|remote/digital work,balanced,K13 IPA,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Education|Engineering|Social|Technology,none,standard,S01237,84,81,78,,95,84,74,78,80,78,88,67,79,80,,82,,,balanced,,92,71,83,,72,IPS,synthetic_v2,Ilmu Terapan,Kebidanan,Kebidanan,P0367,teamwork
language/writing,False,remote/digital work|helping people,practical/project-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,balanced_high,S01238,84,89,88,,95,87,79,85,94,95,88,89,87,92,,76,,,several strong subjects,,88,80,87,,75,IPS,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Lingkungan,Manajemen Bencana,P0339,independent
creative/art,False,public service|stable career,practical/project-heavy,K13 IPA,apti_dataset_v2,Pendidikan Matematika,Teacher Curriculum Developer,education_teaching|engineering|hands_on|helping_people|technology_digital,Education|Engineering|Technology,none,standard,S01239,68,,79,,76,75,70,69,73,69,74,69,77,63,,71,,92,several strong subjects,,86,73,76,,77,Merdeka,synthetic_v2,Ilmu Terapan,Pendidikan,Pendidikan Matematika,P0247,field work
social/human,False,high salary potential|stable career,field-heavy,K13 Bahasa,apti_dataset_v2,Teknologi Penangkapan Ikan,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S01240,73,,70,,90,70,90,96,95,65,79,,70,,,81,,,several strong subjects,,82,84,86,,69,IPS,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Perikanan,Teknologi Penangkapan Ikan,P0171,field work
science/lab,False,high salary potential|stable career,lab-heavy,K13 IPS,apti_dataset_v2,Kedokteran Gigi,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S01241,81,76,93,,,92,85,,83,87,,92,79,91,,91,,,several strong subjects,,89,94,81,,,Merdeka,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Kedokteran Gigi,Kedokteran Gigi,P0348,independent
science/lab,False,remote/digital work|public service,lab-heavy,K13 IPS,apti_dataset_v2,,Researcher Writer,communication_media|creative_design|language_culture,Design|Language|Media,none,standard,S01242,,79,77,,,85,85,60,81,67,73,74,76,62,,89,,,several strong subjects,,58,76,69,,82,Bahasa,synthetic_v2,Humaniora,Linguistik,Bahasa Mandarin,P0030,lab work
language/writing,False,high salary potential|research/innovation,theory-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S01243,88,80,77,,68,74,77,83,83,83,75,88,81,,,93,,,several strong subjects,,71,73,80,,,IPS,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Informasi,Dokumentasi,P0389,independent
numbers/calculation,False,high salary potential|research/innovation,balanced,Kurikulum Merdeka,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,standard,S01244,65,,57,,79,68,72,65,92,73,70,,86,73,,61,,,several strong subjects,,94,74,74,,63,IPS,synthetic_v2,Ilmu Alam,Biofisika,Biofisika,P0112,field work
social/human,True,helping people|stable career,theory-heavy,Kurikulum Merdeka,apti_dataset_v2,Instrumentasi,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health|Social|Technology,none,standard,S01245,58,67,72,,69,86,88,,76,83,62,63,74,59,,61,,,balanced,,87,65,70,,57,IPS,synthetic_v2,Ilmu Alam,Fisika,Instrumentasi,P0116,independent
social/human,False,helping people|stable career,field-heavy,K13 Bahasa,apti_dataset_v2,,Researcher Writer,communication_media|creative_design|language_culture,Design|Language|Media,none,standard,S01246,69,82,64,,,89,77,,72,80,84,83,77,71,,75,,,several strong subjects,,82,77,81,,69,Bahasa,synthetic_v2,Humaniora,Filsafat,Aqidah dan Filsafat Islam,P0056,field work
language/writing,False,remote/digital work|stable career,lab-heavy,K13 IPA,apti_dataset_v2,,Ahli Gizi Nutritionist,engineering|hands_on|health_nutrition|helping_people|technology_digital,Engineering|Technology,none,standard,S01247,78,,77,,100,97,81,86,76,,,,72,,,87,,,several strong subjects,,87,79,66,,84,Merdeka,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Gizi,Gizi,P0356,research-focused
science/lab,True,remote/digital work|research/innovation,balanced,K13 IPS,apti_dataset_v2,Sistem Informasi,System Analyst Product Analyst,business_management|data_ai|numbers_logic|tech_software|technology_digital,Business|Social|Technology,none,focused_average,S01248,71,75,65,,,82,81,80,72,73,77,82,78,77,,95,,,balanced,,65,51,80,,60,IPS,synthetic_v2,Ilmu Formal,Komputer,Sistem Informasi,P0121,lab work
balanced,False,public service|stable career,practical/project-heavy,K13 IPS,apti_dataset_v2,,Legal Officer Advocate,engineering|hands_on|social_law|technology_digital|writing_reading,Engineering|Law|Technology,none,standard,S01249,81,86,77,,86,86,93,77,65,67,87,73,82,76,,65,,,several strong subjects,,84,90,76,,87,Bahasa,synthetic_v2,Ilmu Terapan,Hukum,Ilmu Hukum,P0390,research-focused
balanced,False,public service|research/innovation,theory-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S01250,79,81,75,,100,79,88,79,79,,79,81,95,85,,76,,,several strong subjects,,80,98,100,,100,Merdeka,synthetic_v2,Ilmu Terapan,Ilmu dan Sains Pertanian,Hama dan Penyakit Tumbuhan,P0156,teamwork
balanced,False,high salary potential|remote/digital work,practical/project-heavy,K13 IPS,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S01251,82,60,83,,88,,81,94,86,72,63,78,79,,,87,,,several strong subjects,,,91,67,,,IPA,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Perikanan,Budidaya Perairan,P0168,teamwork
language/writing,False,high salary potential|helping people,theory-heavy,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S01252,77,94,68,,,83,87,75,78,85,80,73,87,75,,81,,,several strong subjects,,82,77,84,,74,IPS,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Perikanan,Agrobisnis Perikanan,P0172,teamwork
science/lab,False,high salary potential|public service,practical/project-heavy,K13 IPA,apti_dataset_v2,,Apoteker Clinical Pharmacist,engineering|hands_on|health_lab|health_pharmacy|technology_digital,Engineering|Health|Technology,none,balanced_high,S01253,91,78,85,,77,97,85,71,79,86,86,80,81,100,,88,,,several strong subjects,,85,78,72,,85,IPA,synthetic_v2,Ilmu Terapan,Ilmu Farmasi,Farmasi Industri,P0353,lab work
numbers/calculation,False,helping people|remote/digital work,lab-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S01254,59,80,78,,97,92,75,75,82,,61,67,66,,,73,,,several strong subjects,,,70,77,,,Merdeka,synthetic_v2,Ilmu Terapan,Keperawatan,Ners,P0369,field work
balanced,False,high salary potential|public service,practical/project-heavy,K13 IPS,apti_dataset_v2,,Engineer Project Engineer,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S01255,95,63,90,,78,80,91,74,73,78,76,71,89,80,,88,,,several strong subjects,,,76,70,,,IPS,synthetic_v2,Ilmu Terapan,Teknik atau Rekayasa,Ilmu Material,P0333,independent
balanced,False,public service|research/innovation,practical/project-heavy,K13 IPA,apti_dataset_v2,Peternakan,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S01256,81,78,80,,74,56,71,81,72,,,65,75,55,,82,,,several strong subjects,,79,68,65,,,IPA,synthetic_v2,Ilmu Terapan,Peternakan,Peternakan,P0163,research-focused
creative/art,True,public service|research/innovation,practical/project-heavy,Kurikulum Merdeka,apti_dataset_v2,,Analyst Public Officer,communication_media|education|social_law_public,Business|Design|Media,none,balanced_high,S01257,89,77,86,,81,,100,,88,82,87,,78,,,87,,,balanced,,84,88,85,,,Merdeka,synthetic_v2,Ilmu Sosial,Pertahanan,Manajemen Pertahanan,P0078,independent
balanced,False,public service|helping people,field-heavy,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,focused_average,S01258,76,71,84,,75,68,80,80,89,82,72,57,84,69,,66,,,several strong subjects,,,79,63,,,Merdeka,synthetic_v2,Ilmu Terapan,Kesehatan,Rekam Medis,P0373,research-focused
creative/art,True,remote/digital work|research/innovation,practical/project-heavy,K13 IPA,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Design|Education|Environment|Health,none,standard,S01259,89,,79,,72,,72,72,70,,84,78,88,80,,68,,,balanced,,70,69,73,,,Merdeka,synthetic_v2,Ilmu Alam,Kimia,Kimia Industri,P0086,teamwork
numbers/calculation,False,stable career|high salary potential,field-heavy,K13 IPS,apti_dataset_v2,,Tourism Planner Hotel Manager,communication_media|engineering|hands_on|technology_digital|tourism_hospitality,Engineering|Media|Technology|Tourism,none,standard,S01260,66,68,72,80,71,54,70,,61,74,68,80,74,63,,80,,,several strong subjects,,66,73,74,74,57,IPA,synthetic_v2,Ilmu Terapan,Pariwisata,Seni Kuliner,P0424,field work
science/lab,False,research/innovation|high salary potential,theory-heavy,Kurikulum Merdeka,apti_dataset_v2,Optometri,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S01261,81,96,69,,84,65,88,,75,95,,,85,,,91,,,several strong subjects,,82,89,85,,80,IPA,synthetic_v2,Ilmu Terapan,Kesehatan,Optometri,P0376,lab work
social/human,False,helping people|public service,balanced,K13 IPA,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,standard,S01262,71,77,72,,69,,67,72,76,69,84,78,89,79,,78,,,several strong subjects,,73,68,80,,80,Bahasa,synthetic_v2,Ilmu Alam,Ilmu atau Sains Kelautan,Oseanografi,P0100,research-focused
language/writing,False,remote/digital work|helping people,balanced,K13 IPA,apti_dataset_v2,,Software Engineer Backend Developer,engineering|hands_on|tech_software|technology_digital,Engineering|Technology,none,standard,S01263,74,80,88,,90,,77,,81,88,76,88,92,78,,100,,,several strong subjects,,100,80,69,,85,IPA,synthetic_v2,Ilmu Terapan,Informatika Medis atau Informatika Kesehatan,Manajemen Informasi Kesehatan Digital,P0459,field work
social/human,True,research/innovation|high salary potential,practical/project-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Education|Engineering|Social|Technology,none,standard,S01264,67,75,82,,,67,63,82,74,53,65,73,58,75,,79,,,balanced,,62,60,59,,80,Merdeka,synthetic_v2,Ilmu Terapan,Kesehatan Masyarakat,Keselamatan dan Kesehatan Kerja,P0362,teamwork
creative/art,False,high salary potential|research/innovation,theory-heavy,K13 Bahasa,apti_dataset_v2,,Teacher Curriculum Developer,education_teaching|engineering|hands_on|helping_people|technology_digital,Education|Engineering|Technology,none,standard,S01265,,67,70,,63,77,69,67,59,,,57,71,74,,58,,77,several strong subjects,,,67,76,,69,IPS,synthetic_v2,Ilmu Terapan,Pendidikan,Tadris Fisika,P0283,field work
social/human,False,public service|research/innovation,theory-heavy,K13 IPS,apti_dataset_v2,Matematika Bisnis,Data Analyst Quantitative Analyst,data_ai|numbers_logic|technology_digital,Technology,none,balanced_high,S01266,87,88,84,,79,89,87,89,87,94,,97,100,85,,96,,,several strong subjects,,83,82,84,,97,IPA,synthetic_v2,Ilmu Formal,Matematika,Matematika Bisnis,P0144,research-focused
social/human,False,helping people|stable career,balanced,K13 IPA,apti_dataset_v2,Logika dan Filsafat Sains,Data Analyst Quantitative Analyst,data_ai|numbers_logic|technology_digital,Technology,none,standard,S01267,,75,59,,73,64,64,77,75,77,72,66,76,67,,76,,,several strong subjects,,68,60,64,,60,IPA,synthetic_v2,Ilmu Formal,Logika,Logika dan Filsafat Sains,P0139,lab work
balanced,False,high salary potential|stable career,lab-heavy,K13 IPA,apti_dataset_v2,,Legal Officer Advocate,engineering|hands_on|social_law|technology_digital|writing_reading,Engineering|Law|Technology,none,standard,S01268,62,71,77,,,67,89,66,84,75,68,78,59,69,,63,,,several strong subjects,,60,74,84,,81,IPA,synthetic_v2,Ilmu Terapan,Hukum,Hukum Bisnis,P0391,teamwork
science/lab,False,remote/digital work|research/innovation,field-heavy,Kurikulum Merdeka,apti_dataset_v2,,Research Assistant Lab Analyst,environment_field|health_life_science|research_analysis,Environment|Health,none,standard,S01269,82,78,91,,77,,73,88,78,86,82,80,60,83,,84,,,several strong subjects,,92,69,88,,89,Bahasa,synthetic_v2,Ilmu Alam,Ilmu atau Sains Kebumian,Sains Atmosfer dan Keplanetan,P0098,field work
language/writing,True,research/innovation|helping people,theory-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Design|Engineering|Social|Technology,none,standard,S01270,78,64,75,,81,,83,,84,69,77,,81,79,,67,,,balanced,,68,70,65,,82,IPA,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Kedokteran Gigi,Kedokteran Gigi,P0348,research-focused
creative/art,False,stable career|high salary potential,theory-heavy,K13 IPA,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,balanced_high,S01271,82,75,89,,100,100,82,91,78,87,87,86,100,83,,89,,,several strong subjects,,80,100,89,,88,Bahasa,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Kedokteran Gigi,Kedokteran Gigi,P0348,field work
numbers/calculation,False,high salary potential|stable career,practical/project-heavy,K13 IPS,apti_dataset_v2,,Analyst Public Officer,communication_media|education|social_law_public,Media,none,standard,S01272,65,89,68,,,73,97,69,83,,72,80,67,69,,78,,,several strong subjects,,71,74,79,,71,IPA,synthetic_v2,Ilmu Sosial,Pertahanan,Manajemen Pertahanan,P0078,independent
numbers/calculation,False,helping people|research/innovation,field-heavy,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,balanced_high,S01273,89,89,85,,85,87,86,99,73,84,82,87,98,87,,94,,,several strong subjects,,85,89,87,,91,Bahasa,synthetic_v2,Ilmu Terapan,Perencanaan Wilayah,Pembangunan Wilayah,P0179,independent
language/writing,False,public service|high salary potential,field-heavy,K13 IPA,apti_dataset_v2,Pariwisata Bahari,Tourism Planner Hotel Manager,communication_media|environment_field|health_life_science|research_analysis|tourism_hospitality,Environment|Health|Media|Tourism,none,standard,S01274,78,66,89,,81,82,81,,80,76,79,76,67,,,81,,,several strong subjects,,,73,88,,76,IPS,synthetic_v2,Ilmu Alam,Ilmu atau Sains Kelautan,Pariwisata Bahari,P0102,teamwork
language/writing,False,high salary potential|remote/digital work,balanced,Kurikulum Merdeka,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S01275,72,88,76,,73,89,80,92,82,74,82,,83,75,,82,,,several strong subjects,,78,84,87,,,Merdeka,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Komunikasi,Sains Komunikasi,P0236,lab work
science/lab,True,high salary potential|stable career,field-heavy,K13 IPS,apti_dataset_v2,,Researcher Writer,communication_media|creative_design|language_culture,Design|Education|Language|Media,none,standard,S01276,68,79,89,,68,79,73,,71,77,74,,68,,,87,,,balanced,,70,76,76,,,IPS,synthetic_v2,Humaniora,Sejarah,Arkeologi,P0020,teamwork
language/writing,False,helping people|public service,practical/project-heavy,Kurikulum Merdeka,apti_dataset_v2,,Teacher Curriculum Developer,education_teaching|engineering|hands_on|helping_people|technology_digital,Education|Engineering|Technology,none,standard,S01277,100,94,80,,93,95,89,90,78,72,85,89,64,87,,79,,,several strong subjects,,,82,89,,78,Bahasa,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Kedokteran,Pendidikan Dokter,P0346,research-focused
language/writing,False,stable career|research/innovation,lab-heavy,K13 IPS,apti_dataset_v2,Keamanan Siber,Data Analyst Quantitative Analyst,data_ai|numbers_logic|technology_digital,Technology,none,standard,S01278,,,66,,81,86,90,71,78,,76,88,67,84,,76,,,several strong subjects,,78,73,84,,80,IPS,synthetic_v2,Ilmu Formal,Komputer,Keamanan Siber,P0130,independent
balanced,False,public service|helping people,field-heavy,K13 Bahasa,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S01279,,76,81,,71,66,82,85,70,71,87,74,78,75,,94,,,several strong subjects,,80,83,72,,69,IPA,synthetic_v2,Ilmu Terapan,Transportasi,Keselamatan Transportasi Jalan,P0436,independent
creative/art,False,remote/digital work|research/innovation,balanced,Kurikulum Merdeka,apti_dataset_v2,,Analyst Public Officer,communication_media|education|social_law_public,Media,none,standard,S01280,80,65,69,,,75,69,,84,74,75,70,73,83,,69,,,several strong subjects,,71,74,76,,89,Merdeka,synthetic_v2,Ilmu Sosial,Sosial,Kriminologi,P0062,field work
science/lab,False,helping people|remote/digital work,practical/project-heavy,K13 Bahasa,apti_dataset_v2,Sains Perkopian,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Engineering|Technology,none,standard,S01281,86,78,90,,91,79,83,81,80,85,70,74,72,65,,71,,,several strong subjects,,78,72,67,,,Merdeka,synthetic_v2,Ilmu Terapan,Sains Perkopian,Sains Perkopian,P0477,independent
social/human,False,remote/digital work|high salary potential,balanced,K13 Bahasa,apti_dataset_v2,Pendidikan Dokter,Teacher Curriculum Developer,education_teaching|engineering|hands_on|helping_people|technology_digital,Education|Engineering|Technology,none,standard,S01282,,70,88,,81,83,75,74,63,70,68,51,58,68,,75,,,several strong subjects,,,72,73,,76,Bahasa,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Kedokteran,Pendidikan Dokter,P0346,lab work
science/lab,True,research/innovation|helping people,field-heavy,Kurikulum Merdeka,apti_dataset_v2,,Teacher Curriculum Developer,education_teaching|engineering|hands_on|helping_people|technology_digital,Business|Education|Engineering|Social|Technology,none,standard,S01283,65,,68,,69,58,58,94,64,64,70,73,74,67,,82,,,balanced,,63,67,53,,68,IPA,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Kedokteran,Pendidikan Dokter,P0346,field work
language/writing,True,high salary potential|public service,practical/project-heavy,K13 IPA,apti_dataset_v2,,Practitioner Technical Specialist,engineering|hands_on|technology_digital,Education|Engineering|Technology,none,standard,S01284,,86,71,,82,,73,80,80,67,61,53,78,70,,72,,,balanced,,71,60,77,,100,Merdeka,synthetic_v2,Ilmu Terapan,Ilmu atau Sains Komunikasi,Komunikasi Penyiaran Islam,P0235,field work
science/lab,False,stable career|public service,balanced,K13 IPA,apti_dataset_v2,,Data Analyst Quantitative Analyst,data_ai|numbers_logic|technology_digital,Technology,none,standard,S01285,84,,70,,,91,75,71,64,71,77,78,79,78,,84,,,several strong subjects,,76,74,87,,86,IPS,synthetic_v2,Ilmu Formal,Matematika,Matematika Bisnis,P0144,research-focused
language/writing,False,helping people|research/innovation,lab-heavy,K13 IPA,apti_dataset_v2,,HR Specialist Counselor Assistant,communication_media|education|helping_people|social_law_public|social_psychology,Media|Psychology,none,standard,S01286,88,77,90,,92,75,72,80,77,75,81,70,84,94,,74,,,several strong subjects,,82,76,70,,87,IPA,synthetic_v2,Ilmu Sosial,Psikologi,Psikologi Islam,P0082,research-focused
language/writing,False,public service|stable career,theory-heavy,K13 Bahasa,apti_dataset_v2,Farmasi Klinis,Apoteker Clinical Pharmacist,engineering|hands_on|health_lab|health_pharmacy|technology_digital,Engineering|Health|Technology,none,standard,S01287,81,87,54,,74,93,66,76,73,77,,77,83,73,,83,,,several strong subjects,,79,76,80,,65,IPA,synthetic_v2,Ilmu Terapan,Ilmu Farmasi,Farmasi Klinis,P0351,teamwork
balanced,True,stable career|research/innovation,lab-heavy,K13 IPS,apti_dataset_v2,,Analyst Public Officer,communication_media|education|social_law_public,Education|Media|Technology,none,standard,S01288,88,78,76,,75,85,89,86,80,65,83,93,88,,,88,,,balanced,,80,76,74,,99,IPS,synthetic_v2,Ilmu Sosial,Sosial,Kajian Budaya,P0065,independent
